Name,Brand,benzyl acetate,benzyl benzoate,xylene,toulene,Asthma_Trigger
Thurible Eau de Parfum,Rook Perfumes,0.0,0.13,86.97,0.01,1
Suede Eau de Parfum,Rook Perfumes,0.53,1.33,19.84,1.05,0
Amber Eau de Parfum,Rook Perfumes,0.01,0.06,27.49,0.03,0
Interlude Black Iris Eau de Parfum,Amouage,0.95,2.78,19.9,7.02,0
Escale En Haiti Eau De Cologne,Les Indemodables,5.37,13.33,19.53,6.32,0
Escale En Indonesie Eau De Cologne,Les Indemodables,0.2,1.66,48.93,0.04,1
Zeste de Gingembre Eau de Parfum,HEELEY,0.31,25.35,31.59,0.03,1
Haute Provence Eau de Parfum,Parle Moi de Parfum,0.07,0.11,51.2,0.09,1
Escentric 05 - Travel Spray Eau de Toilette,Escentric Molecules,0.05,2.09,48.43,0.09,1
1979 New Wave Eau de Parfum,Les Bains Guerbois,0.04,0.45,58.78,0.2,1
2018 Roxo Tonic Eau de Parfum,Les Bains Guerbois,0.07,1.28,60.26,1.04,1
Sel d'Argent Eau de Parfum,BDK Parfums,0.32,9.82,65.01,0.12,1
Citrus Riviera Eau de Parfum,BDK Parfums,0.71,3.56,34.58,1.36,0
Smoke Show Eau de Parfum,Vilhelm Parfumerie,0.04,0.07,50.07,0.5,1
Do Not Disturb Eau de Parfum,Vilhelm Parfumerie,0.01,0.31,8.38,0.0,0
Room Service Eau de Parfum,Vilhelm Parfumerie,0.01,3.47,56.72,1.24,1
Purple Fig Eau de Parfum,Vilhelm Parfumerie,1.08,2.24,57.75,11.42,1
Basilico & Fellini Eau de Parfum,Vilhelm Parfumerie,0.06,1.55,78.55,0.67,1
Poets of Berlin Eau de Parfum,Vilhelm Parfumerie,0.04,0.14,34.9,0.02,0
Morning Chess Eau de Parfum,Vilhelm Parfumerie,0.0,0.29,4.27,0.02,0
Mango Skin Eau de Parfum,Vilhelm Parfumerie,4.52,27.88,7.12,35.32,1
Dear Polly Eau de Parfum,Vilhelm Parfumerie,0.0,4.2,80.99,0.01,1
Black Citrus Eau de Parfum,Vilhelm Parfumerie,0.06,0.55,76.59,0.11,1
Lil Fleur Eau de Parfum,BYREDO,0.63,6.36,2.64,0.94,0
Kurokami Parfum,Di Ser,4.81,17.75,19.29,1.48,0
Bouquet de Hongrie Eau de Parfum,BDK Parfums,0.58,10.79,29.1,0.76,0
Undergrowth Eau de Parfum,Rook Perfumes,0.01,0.71,66.09,0.01,1
Rook Eau de Parfum,Rook Perfumes,0.2,20.48,63.2,0.89,1
Forest Eau de Parfum,Rook Perfumes,0.12,0.29,1.44,0.72,0
Hapyang Eau de Parfum,"Pierre Guillaume Paris, Parfumerie Generale",0.01,9.63,71.81,0.02,1
Young Hearts Eau de Parfum,Bruno Acampora,0.0,0.46,84.53,0.0,1
Eau de Yuzu Eau de Toilette,PARFUMS DE NICOLAI,1.99,2.01,13.49,2.92,0
Creme de Cuir Eau de Parfum,BDK Parfums,0.0,0.01,12.24,0.01,0
Tabac Rose Eau de Parfum,BDK Parfums,0.08,0.12,75.66,0.24,1
French Bouquet Eau de Parfum,BDK Parfums,0.02,0.23,12.49,0.16,0
Oud Abramad Eau de Parfum,BDK Parfums,1.08,0.9,2.44,1.28,0
Rouge Smoking Eau de Parfum,BDK Parfums,0.66,6.84,4.77,4.31,0
Tubereuse Imperiale Eau de Parfum,BDK Parfums,0.01,0.41,35.0,0.02,0
Nuit de Sable Eau de Parfum,BDK Parfums,0.18,2.37,39.83,0.61,0
Wood Jasmin Eau de Parfum,BDK Parfums,0.04,0.85,77.11,0.02,1
Pas Ce Soir Eau de Parfum,BDK Parfums,0.04,2.35,80.14,0.01,1
Dolceacqua Eau de Parfum,Masque Milano,0.01,0.01,79.88,0.02,1
Black Beard Extrait de Parfum,CALAJ Perfumes,0.01,0.82,97.42,0.02,1
Transilvania Extrait de Parfum,CALAJ Perfumes,0.34,1.15,52.01,0.47,1
Love Toxin Extrait de Parfum,CALAJ Perfumes,0.96,5.01,15.74,0.66,0
Oshun Extrait de Parfum,CALAJ Perfumes,0.01,0.16,89.94,0.0,1
Isra & Miraj Eau de Parfum,Stephane Humbert Lucas 777,0.04,4.23,74.97,0.1,1
Petits Papiers Eau de Parfum,Mad et Len,0.57,1.6,76.83,0.54,1
La Danza delle Libellule Eau de Parfum,Nobile 1942,0.13,0.45,68.25,0.14,1
Magnolia Grandiflora - Michel Eau de Parfum,Grandiflora,0.0,0.0,98.25,0.0,1
Bell'Antonio Eau de Parfum,Hilde Soliani,0.01,0.04,81.45,0.01,1
Golden Moka Eau de Parfum,Xerjoff,0.01,0.02,95.76,0.0,1
Oud Stars - Indochine Parfum,Xerjoff,0.11,9.2,42.34,4.84,1
Fatal Charme Eau de Parfum,Xerjoff - Join the Club,0.27,5.03,53.37,0.13,1
Mad About You Eau de Parfum,Pierre Guillaume Paris Black Collection,0.08,0.88,69.18,0.91,1
Anti-Blues,Pierre Guillaume Paris Black Collection,0.06,0.77,62.7,0.04,1
Tahiti Vanilla Parfum,Farmacia SS. Annunziata dal 1561,0.22,0.07,87.44,1.04,1
Fuyu Eau de Parfum,Tom Daxon,1.03,3.79,46.26,1.29,1
Perfumista Eau de Parfum,Anatole Lebreton,0.0,0.01,78.27,0.01,1
Douleur! Eau de Parfum,Bogue Profumo,0.01,0.01,16.34,0.01,0
Ambre Stone Eau de Parfum,Anthologie de Grands Crus,0.03,0.23,77.15,0.38,1
Vanille d'Amine Eau de Parfum,Anthologie de Grands Crus,0.13,0.58,63.51,0.42,1
Bergamote de G. Franco Eau de Parfum,Anthologie de Grands Crus,0.01,0.37,61.53,0.09,1
Vetiver de Pierre Eau de Parfum,Anthologie de Grands Crus,0.02,0.14,31.87,0.05,0
Jasmin de Cherifa Eau de Parfum,Anthologie de Grands Crus,0.0,0.0,80.47,0.0,1
I Love YY,Bogue Profumo,1.51,2.35,50.24,0.44,1
New York Eau de Parfum,Widian,0.01,4.78,29.97,0.0,0
Gold II Sahara Parfum Extrait,Widian,0.14,3.5,25.21,0.01,0
Bengale Rouge Eau de Parfum,Papillon Artisan Perfumes,0.0,0.06,13.14,0.0,0
Avatar Eau de Parfum,Hilde Soliani,2.37,2.22,8.3,3.72,0
Midnight Saffron Eau de Parfum,Tom Daxon,0.0,0.02,71.24,0.01,1
Dolls Eau de Parfum,Moth and Rabbit,0.14,0.06,53.45,0.02,1
Opale Eau de Parfum,Omnia Profumo,0.0,2.09,70.34,0.03,1
Poudrextase Eau de Parfum,Marlou,0.01,0.48,83.34,0.0,1
Single Man Eau de Parfum,Moth and Rabbit,0.07,7.6,27.08,4.79,0
Whisky Oud Parfum Concentration,Farmacia SS. Annunziata dal 1561,1.98,3.48,50.62,15.14,1
Limited 71 Intense Eau de Parfum,Widian,0.01,6.0,29.32,0.04,0
Lambrosc Eau de Parfum,Hilde Soliani,0.0,0.48,80.88,0.0,1
Donna Sentenza Eau de Parfum,Hilde Soliani,0.0,8.24,34.52,0.32,0
Manteuse Eau de Parfum,Stephane Humbert Lucas 777,0.62,2.18,50.85,0.76,1
Against Nature Eau de Parfum,Timothy Han Edition Perfumes,0.03,0.86,20.03,0.03,0
Cornaline Eau de Parfum,Anatole Lebreton,0.0,0.01,76.01,0.0,1
Bluebijou Eau de Parfum,Piotr Czarnecki,0.06,0.25,15.28,0.05,0
Kiviskin Eau de Parfum,Piotr Czarnecki,0.05,0.03,40.44,0.07,0
Venom of Angel Eau de Parfum,Piotr Czarnecki,0.01,0.05,12.44,0.04,0
Hili Eau de Parfum,Widian,0.02,2.02,87.35,0.03,1
Niral Eau de Parfum,Neela Vermeire Creations,0.02,0.35,61.57,0.27,1
London Eau de Parfum,Widian,1.92,4.45,73.61,4.87,1
Buonissimo Eau de Parfum,Hilde Soliani,0.0,29.07,48.52,0.01,1
Boronia Eau de Parfum,Grandiflora,0.67,1.3,49.91,9.19,1
Ambilux (formerly 50ml d'Ambiguite) Eau de Parfum,Marlou,0.05,1.01,51.09,0.03,1
Grimoire Eau de Parfum,Anatole Lebreton,0.01,0.3,84.17,0.03,1
The Decay Of The Angel Eau de Parfum,Timothy Han Edition Perfumes,0.03,4.94,7.36,0.01,0
Dryad Eau de Parfum,Papillon Artisan Perfumes,0.86,2.43,20.97,1.75,0
L'homme Accompli Eau de Parfum,Divine,0.08,0.34,87.53,0.01,1
White Madera Eau de Parfum,Omnia Profumo,0.09,6.08,69.36,0.06,1
Cactus Azul Eau de Parfum,Fueguia 1833,7.02,18.96,8.4,4.73,0
Chamber Eau de Parfum,Fueguia 1833,0.03,4.97,52.93,6.31,1
Jacaranda Eau de Parfum,Fueguia 1833,0.27,1.39,18.11,0.07,0
Muskara Phero J Eau de Parfum,Fueguia 1833,0.09,0.32,74.51,0.12,1
Quilombo Eau de Parfum,Fueguia 1833,0.0,0.03,10.71,0.0,0
Thays Eau de Parfum,Fueguia 1833,0.28,1.61,87.42,0.57,1
La Cautiva Eau de Parfum,Fueguia 1833,1.72,2.11,6.5,10.94,0
Biblioteca de Babel Eau de Parfum,Fueguia 1833,0.34,1.15,44.21,0.04,0
Panthea Eau de Parfum,Stephane Humbert Lucas 777,0.02,21.23,49.7,0.16,1
Wish Come True Eau de Parfum,Stephane Humbert Lucas 777,0.17,0.14,18.86,0.48,0
MEM Eau de Parfum,Bogue Profumo,0.05,3.63,67.83,0.09,1
Delma Eau de Parfum,Widian,1.31,2.78,84.52,0.25,1
Liwa Eau de Parfum,Widian,0.01,0.0,98.88,0.0,1
Aqaysos Eau de Parfum,Pierre Guillaume Paris Black Collection,0.14,9.9,69.38,0.19,1
Il Tempo delle Mele Eau de Parfum,Hilde Soliani,0.0,0.07,3.1,0.01,0
Hot Milk Eau de Parfum,Hilde Soliani,0.09,0.02,96.8,0.08,1
Carnicure (formerly L'animal sauvage) Eau de Parfum,Marlou,0.54,49.54,2.1,0.86,1
Passion Eau de Parfum,M. Micallef,0.1,23.75,4.12,0.99,0
Rahele Eau de Parfum,Neela Vermeire Creations,0.11,0.12,26.93,0.02,0
Sweet Parmesan Violet Eau de Parfum,Hilde Soliani,0.1,10.37,48.01,0.1,1
Una Tira l'Altra Eau de Parfum,Hilde Soliani,0.1,0.97,49.61,0.02,1
Oud Orange Intense Eau de Parfum,Fragrance du Bois,0.01,33.23,39.99,0.21,1
Oud Noir Intense Eau de Parfum,Fragrance du Bois,0.12,0.18,12.47,0.06,0
Sahraa Oud Eau de Parfum,Fragrance du Bois,0.12,6.87,54.3,0.21,1
London Oud Eau de Parfum,Fragrance du Bois,0.03,0.17,87.98,0.13,1
Oud Jaune Intense Eau de Parfum,Fragrance du Bois,0.02,0.02,89.29,0.09,1
Oud Bleu Intense Eau de Parfum,Fragrance du Bois,0.0,0.39,62.82,0.05,1
Oud Rouge Intense Eau de Parfum,Fragrance du Bois,0.0,5.1,31.56,0.49,0
Verde di Persia Parfum Concentration,Farmacia SS. Annunziata dal 1561,0.45,0.13,44.85,0.42,0
20 Years Eau de Parfum,M. Micallef,4.17,21.65,2.19,0.65,0
Gold I Parfum Extrait,Widian,0.08,0.07,78.3,0.0,1
Queen Of The Night Eau de Parfum,Grandiflora,4.04,2.0,21.26,8.4,0
Cafe Chantant Parfum Extrait,Nobile 1942,0.35,4.0,68.72,0.03,1
Taklamakan Eau de Parfum,Stephane Humbert Lucas 777,0.02,0.68,29.39,0.06,0
"Eye, Hatshepsut Eau de Parfum",Charenton Macerations,0.0,0.05,86.53,0.0,1
Perdizione Eau de Parfum,Nobile 1942,0.13,0.21,64.65,0.64,1
Sandalo Nobile Eau de Parfum,Nobile 1942,2.62,1.75,9.57,1.54,0
On The Road Eau de Parfum,Timothy Han Edition Perfumes,0.13,0.03,74.44,0.84,1
Black V Parfum Extrait,Widian,3.03,14.95,22.48,2.22,0
Incarnata Eau de Parfum,Anatole Lebreton,1.23,2.01,58.05,0.15,1
La Haine Eau de Parfum,Moth and Rabbit,3.1,0.16,17.16,0.78,0
Madagascan Jasmine Eau de Parfum,Grandiflora,0.05,5.96,27.47,0.0,0
La Danza delle Libellule Exceptional Edition Parfum Extrait,Nobile 1942,3.67,4.69,10.47,2.48,0
Salome Eau de Parfum,Papillon Artisan Perfumes,0.36,0.01,93.16,0.46,1
Black I Parfum Extrait,Widian,0.01,1.98,70.9,0.06,1
Black II Parfum Extrait,Widian,0.01,1.9,62.73,0.05,1
Black III Parfum Extrait,Widian,0.28,3.18,60.78,1.15,1
Black IV Parfum Extrait,Widian,0.01,0.43,79.6,0.0,1
Goddess of Love & Perfume Parfum Extrait,4160 Tuesdays,0.0,0.22,35.19,0.01,0
L'Eau Scandaleuse Eau de Parfum,Anatole Lebreton,0.11,2.06,58.44,0.67,1
Bois Lumiere Eau de Parfum,Anatole Lebreton,0.0,1.61,56.64,0.42,1
Maxed Out Parfum Extrait,4160 Tuesdays,0.66,9.15,54.3,0.08,1
Alchemico Eau de Parfum,Mazzolari,0.75,5.57,7.62,2.41,0
Fougere Nobile Eau de Parfum,Nobile 1942,0.06,0.04,90.02,0.15,1
Mortal Skin Eau de Parfum,Stephane Humbert Lucas 777,0.02,0.32,43.78,0.02,0
Spirituelle Eau de Cologne,Divine,0.01,5.76,32.02,0.56,0
Black Amber perfume oil,Michele Bergman,3.05,16.75,42.45,0.97,1
She Came to Stay Eau de Parfum,Timothy Han Edition Perfumes,0.0,0.04,98.3,0.0,1
L'homme de Coeur Eau de Parfum,Divine,0.01,5.03,23.54,0.12,0
L'Homme Sage Eau de Parfum,Divine,0.02,0.39,92.32,0.06,1
L'Etre Aime - Homme Eau de Parfum,Divine,1.69,20.68,46.92,0.4,1
Augusto Eau de Parfum,Mazzolari,0.02,0.52,84.91,0.01,1
Le Rose Eau de Parfum,Mazzolari,0.09,11.69,68.76,0.1,1
Pichola Eau de Parfum,Neela Vermeire Creations,0.06,4.46,80.25,0.03,1
O/E Eau de Parfum,Bogue Profumo,0.07,0.18,40.4,0.33,0
Asphalt Rainbow Scratch & Sniff Sticker Set,Charenton Macerations,0.13,3.08,20.03,0.19,0
Asphalt Rainbow Eau de Parfum,Charenton Macerations,3.82,28.22,36.32,2.92,1
Cristallo di Rocca Eau de Parfum,Omnia Profumo,0.03,0.07,76.78,0.02,1
Morning Muscs Eau de Parfum,Alexandre. J,0.12,2.92,78.79,0.28,1
Black Muscs Eau de Parfum,Alexandre. J,0.0,0.04,91.46,0.0,1
Rose Oud Eau de Parfum,Alexandre. J,0.22,2.14,20.1,0.16,0
Silver Ombre Eau de Parfum,Alexandre. J,0.3,2.38,15.72,4.46,0
Vaniglia Eau de Parfum,Mazzolari,0.0,3.43,16.34,0.0,0
Nero Eau de Parfum,Mazzolari,0.11,0.02,84.21,0.02,1
Christopher Street Eau de Parfum,Charenton Macerations,0.04,1.37,87.42,0.68,1
Rudis Eau de Parfum,Nobile 1942,0.02,3.9,5.45,0.11,0
Gardenia Eau de Parfum,M. Micallef,0.08,14.9,1.14,0.08,0
Mohur Extrait Parfum Extrait,Neela Vermeire Creations,0.0,0.01,84.24,0.0,1
Maai Eau de Parfum,Bogue Profumo,0.0,0.01,4.49,0.01,0
SHE Shihan Eau de Parfum,Piotr Czarnecki,0.04,2.34,68.9,3.62,1
Mood Indigo Eau de Parfum,Moth and Rabbit,0.09,0.18,61.91,0.08,1
Love Exposure Eau de Parfum,Moth and Rabbit,0.02,0.48,66.53,0.01,1
Anubis Eau de Parfum,Papillon Artisan Perfumes,0.29,0.28,88.19,0.02,1
Tobacco Rose Eau de Parfum,Papillon Artisan Perfumes,0.97,3.12,73.76,0.87,1
Angelique Eau de Parfum,Papillon Artisan Perfumes,0.0,0.37,73.77,0.08,1
2022 Generation Homme Eau de Parfum,Stephane Humbert Lucas 777,0.0,0.04,59.09,0.01,1
Shihan Eau de Parfum,Piotr Czarnecki,0.0,0.43,61.87,0.0,1
Black Gemstone Eau de Parfum,Stephane Humbert Lucas 777,0.01,0.11,45.01,0.0,0
Oumma Eau de Parfum,Stephane Humbert Lucas 777,0.04,0.72,76.55,3.75,1
Rose de Petra Eau de Parfum,Stephane Humbert Lucas 777,1.53,9.46,6.8,9.47,0
Soleil de Jeddah Eau de Parfum,Stephane Humbert Lucas 777,0.91,1.02,76.63,1.79,1
Khol de Bahrein Eau de Parfum,Stephane Humbert Lucas 777,0.05,2.71,53.61,0.04,1
O Hira Eau de Parfum,Stephane Humbert Lucas 777,0.0,0.14,68.23,0.0,1
Une Nuit a Doha Eau de Parfum,Stephane Humbert Lucas 777,0.1,0.0,32.62,0.8,0
Magnolia Grandiflora - Sandrine Eau de Parfum,Grandiflora,0.09,3.13,4.24,0.15,0
Vani Choc Eau de Parfum,Hilde Soliani,0.0,0.17,98.75,0.0,1
Tendre est la Nuit Eau de Parfum,Majda Bekkali,0.06,1.29,78.43,0.11,1
Monsieur Eau de Parfum,Pierre Guillaume Paris Black Collection,0.4,7.07,27.2,0.35,0
Ashoka Eau de Parfum,Neela Vermeire Creations,0.11,1.71,50.43,0.29,1
Cologne Absolute Eau de Parfum,Tom Daxon,0.26,6.29,12.86,4.13,0
Sicilian Wood Eau de Parfum,Tom Daxon,0.0,1.46,10.58,0.03,0
Resin Sacra Eau de Parfum,Tom Daxon,0.0,0.07,33.09,0.0,0
Iridium Eau de Parfum,Tom Daxon,0.0,0.06,98.16,0.15,1
Salvia Sclarea Eau de Parfum,Tom Daxon,0.01,5.26,58.34,0.0,1
Agua Magnoliana Eau de Parfum,Fueguia 1833,0.01,2.59,35.04,0.26,0
Talc Gourmand Eau de Parfum,Farmacia SS. Annunziata dal 1561,0.11,0.91,15.42,0.33,0
Orgasmo Eau de Parfum,Hilde Soliani,0.11,1.18,96.99,0.13,1
J'ai Fait Un Reve - Obscur Eau de Parfum,Majda Bekkali,0.04,15.05,51.97,0.48,1
J'ai Fait Un Reve - Clair Eau de Parfum,Majda Bekkali,0.03,0.13,57.24,0.13,1
Fusion Sacree - Clair Eau de Parfum,Majda Bekkali,0.01,0.47,10.18,0.04,0
Fusion Sacree - Obscur Eau de Parfum,Majda Bekkali,0.05,3.11,36.63,0.08,0
Mon Nom Est Rouge Eau de Parfum,Majda Bekkali,0.0,0.27,85.32,0.09,1
Platino,Omnia Profumo,0.13,18.66,12.54,4.79,0
L'homme infini Eau de Parfum,Divine,0.04,1.2,5.42,0.57,0
Crema di Latte Eau de Parfum,Hilde Soliani,0.01,0.31,53.19,0.15,1
Cristina Eau de Parfum,Hilde Soliani,0.0,0.35,35.34,0.0,0
Poudre de Riz Eau de Parfum,Pierre Guillaume Paris Black Collection,0.11,5.87,70.1,0.77,1
450 Eau de Parfum,Farmacia SS. Annunziata dal 1561,0.21,10.89,13.24,0.31,0
Emir Eau de parfum,M. Micallef,0.05,1.68,73.68,0.39,1
Bombay Bling Eau de Parfum,Neela Vermeire Creations,0.0,0.0,74.37,0.0,1
Mohur Eau de Parfum,Neela Vermeire Creations,0.38,8.36,19.51,0.08,0
Trayee Eau de Parfum,Neela Vermeire Creations,0.08,0.04,14.5,0.03,0
Myrrhiad Eau de Parfum,Pierre Guillaume Paris Black Collection,0.05,3.56,57.26,6.05,1
Oro Eau de Parfum,Omnia Profumo,0.21,6.25,50.86,0.26,1
Conaffetto Eau de Parfum,Hilde Soliani,8.55,14.15,30.91,11.63,0
Patchouli Nobile Eau de Parfum,Nobile 1942,0.06,23.53,0.57,0.0,0
Estroverso Eau de Parfum,Nobile 1942,1.91,5.28,72.7,0.97,1
Ambra Nobile Eau de Parfum,Nobile 1942,0.25,3.8,15.23,1.49,0
Note Vanillee Eau de Parfum,M. Micallef,0.03,0.46,15.07,0.85,0
Beachwood Eau de Parfum,Costamor,0.91,2.39,63.33,0.69,1
Sugarwood Eau de Parfum,Costamor,0.01,0.54,82.03,0.48,1
Eau Divine Eau de Parfum,Divine,0.37,23.69,51.92,2.32,1
Il Vs Iris Eau de Parfum,Hilde Soliani,0.01,2.46,79.55,0.09,1
Acquiiissssima Eau de Parfum,Hilde Soliani,0.13,0.17,72.08,1.24,1
Fraaagola Saalaaata Eau de Parfum,Hilde Soliani,0.9,1.31,57.97,0.15,1
L'etre Aime - Femme Eau de Parfum,Divine,0.05,0.02,60.39,0.06,1
Ambra Eau de Parfum ...,Omnia Profumo,0.39,5.5,70.52,0.87,1
Madera Eau de Parfum,Omnia Profumo,9.16,0.94,30.42,3.59,0
Onice Eau de Parfum ...,Omnia Profumo,0.0,0.09,97.6,0.01,1
Vaniglia del Madagascar Parfum Concentration,Farmacia SS. Annunziata dal 1561,0.01,0.93,53.15,0.06,1
Reve en Cuir Eau de Parfum,Indult,0.04,4.48,17.29,0.01,0
Patchouly Indonesiano Parfum ...,Farmacia SS. Annunziata dal 1561,0.04,9.05,21.69,0.09,0
Ambra Nera Parfum ...,Farmacia SS. Annunziata dal 1561,0.0,1.38,71.47,0.02,1
Chia Eau de Parfum,Farmacia SS. Annunziata dal 1561,0.48,8.17,27.99,9.04,0
Cara Eau de Parfum,Farmacia SS. Annunziata dal 1561,0.0,0.06,66.05,0.0,1
Takis Eau de Parfum,Farmacia SS. Annunziata dal 1561,2.82,3.43,49.55,5.2,1
Perla Eau de Toilette,Farmacia SS. Annunziata dal 1561,0.31,18.48,1.61,0.5,0
Royal Muska Eau de Parfum,M. Micallef,0.1,2.42,83.25,0.06,1
Vanille Oud Eau de Parfum,M. Micallef,0.3,0.41,33.88,0.53,0
Gaiac Eau de Parfum,M. Micallef,0.96,39.18,35.67,0.49,1
Homme (Aoud) Eau de Parfum,M. Micallef,0.2,0.28,85.82,0.03,1
Avant Garde Eau de Parfum,M. Micallef,0.0,0.14,92.63,0.04,1
Manakara Eau de Parfum,Indult,1.74,5.9,66.24,0.19,1
Isvaraya Eau de Parfum,Indult,0.85,9.71,46.34,1.41,1
L'Inspiratrice Eau de Parfum,Divine,1.21,2.57,13.97,0.96,0
All That Matters Eau de Parfum,Anamor,0.74,2.75,46.26,2.86,0
Mazzolari Eau de Toilette,Mazzolari,0.0,0.3,49.65,0.01,0
Lui Eau de Toilette,Mazzolari,0.0,0.07,87.79,0.01,1
Alessandro Eau de Toilette,Mazzolari,0.01,0.52,13.28,0.02,0
Musk Eau de Toilette,Mazzolari,0.52,20.96,29.19,6.97,1
Patchouli Eau de Toilette,Mazzolari,0.07,56.94,9.33,4.68,1
L'ame Soeur Eau de Parfum,Divine,0.0,0.04,77.83,0.01,1
Douceur de Vanille Eau de Parfum,Les Nereides,0.03,1.86,78.56,0.16,1
Opoponax Eau de Parfum,Les Nereides,0.18,0.29,27.76,0.01,0
Patchouli Precieux Eau de Parfum,Les Nereides,0.09,2.23,36.73,1.77,0
Black Gardenia Perfume Oil,Michele Bergman,0.01,3.6,9.89,3.01,0
Divine Eau de Parfum,Divine,0.01,0.24,93.18,0.26,1
L'Infante Eau de Parfum,Divine,0.32,7.7,36.49,0.29,0
Molecule 05 Eau de Toilette,Escentric Molecules,0.03,29.35,8.29,0.18,0
Escentric 05 Eau de Toilette,Escentric Molecules,0.07,0.23,23.67,0.2,0
Explicite Eau de Parfum,Ex Nihilo,0.18,0.53,91.21,0.02,1
Triad Extrait de Parfum,Bortnikoff,0.0,0.15,95.23,0.02,1
Arborist Eau de Parfum,Jorum Studio,0.23,0.37,15.49,1.07,0
Eau Capitale Eau de Parfum,Diptyque,0.01,0.01,1.17,0.06,0
Fougere L'Aube Eau de Toilette,Rogue Perfumery,0.12,0.51,48.98,0.02,0
Medie Eau de Parfum,Cire Trudon,0.1,0.59,75.37,0.31,1
Borneo Oud Pure Oud Oil,Fragrance du Bois,0.15,1.9,73.48,0.15,1
Chypre Azural Eau de Parfum,Les Indemodables,0.01,0.51,83.34,1.32,1
L'Eau des Sacres,Reims Parfums,0.05,0.49,65.36,0.13,1
Awake Eau de Parfum,Akro,0.01,2.09,58.56,0.35,1
B683 Eau de Parfum,Marc-Antoine Barrois,0.15,2.57,81.91,2.78,1
Ramune (Japanese Soda) Eau de Parfum,J-Scent,0.02,0.2,30.99,0.01,0
Fille en Aiguilles Eau de Parfum,Serge Lutens,0.02,0.34,85.38,0.01,1
Purple Haze Eau de Parfum,19-69,0.02,5.93,83.37,0.27,1
Peau de Peche Eau de Parfum,Keiko Mecheri,0.11,0.87,81.1,0.28,1
Lost Cherry Eau de Parfum,TOM FORD Private Blend,0.99,1.08,67.99,0.2,1
Over the Chocolate Shop Eau de Parfum,4160 Tuesdays,0.17,4.03,79.98,0.23,1
Eleventh Hour Eau de Parfum,BYREDO,1.46,0.57,19.85,0.06,0
Sabbia Bianca Eau de Parfum,Profumum,1.24,0.09,37.75,0.45,0
Sundrunk Eau de Parfum,Imaginary Authors,0.75,0.04,83.58,0.04,1
The Time Eau de Parfum,The House Of Oud,1.14,2.1,62.32,2.09,1
Vanilla Cake Eau de Parfum,Montale,0.01,9.31,21.8,0.05,0
Freeway Eau de Parfum,4160 Tuesdays,0.13,0.19,93.1,0.01,1
20 Mars 2022 Eau de Parfum,Rundholz Parfums,0.0,0.06,45.15,0.0,0
Une Amourette Roland Mouret Eau de Parfum,Etat Libre d'Orange,0.0,0.16,81.96,0.05,1
Le Cri De La Lumiere Eau de Parfum,Parfum d'Empire,0.0,1.03,93.58,0.0,1
Wulong Cha Extrait de Parfum,Nishane,0.0,13.15,24.19,0.56,0
Lily Eau de Toilette,Comme des Garcons: Olfactory Library,0.47,4.78,20.92,0.65,0
1969 Travel Spray Eau de Parfum,Histoires de Parfums,0.0,0.0,99.9,0.0,1
Guimauve de Noel Eau de Parfum,Parle Moi de Parfum,0.25,1.41,80.52,0.29,1
Roaring Radcliff Eau de Parfum,Penhaligons,0.0,0.3,13.75,0.29,0
